FieldID,Column,Row2,ID2,Latitude,Longitude,Year,SampleID,Crop,GrainWeightWet
CookEast,5,A,1,46.778729,-117.087514,2015,GPHY15_WW_A4_1_5-A,WW,1173
CookEast,6,A,2,46.77869163,-117.0870645,2015,GPHY15_WW_A5_2_6-A,WW,792
CookEast,7,A,3,46.778791,-117.086678,2015,GPHY15_WW_A5_3_7-A,WW,919
CookEast,8,A,4,46.778761,-117.08626,2015,GPHY15_WW_A6_4_8-A,WW,838
CookEast,9,A,5,46.778666,-117.085842,2015,GPHY15_SC_B1_5_9-A,SC,390
CookEast,10,A,6,46.77877321,-117.0854187,2015,GPHY15_SC_B2_6_10-A,SC,359
CookEast,11,A,7,46.778632,-117.085006,2015,GPHY15_SC_B3_7_11-A_B,SC,
CookEast,12,A,8,46.778721,-117.084588,2015,GPHY15_SC_B3_8_12-A,SC,317
CookEast,13,A,9,46.778674,-117.08417,2015,GPHY15_WW_B4_9_13-A,WW,1090
CookEast,14,A,10,46.778737,-117.083752,2015,GPHY15_SB_B5_10_14-A,SB,257
CookEast,15,A,11,46.778658,-117.083334,2015,GPHY15_GB_B6_11_15-A,GB,263
CookEast,16,A,12,46.77873108,-117.0829398,2015,GPHY15_GB_B6_12_16-A,GB,210
CookEast,17,A,13,46.778764,-117.082498,2015,GPHY15_GB_C1_13_17-A,GB,248
CookEast,19,A,14,46.77868864,-117.0816322,2015,GPHY15_SW_C3_14_19-A,SW,358
CookEast,20,A,15,46.778707,-117.081244,2015,GPHY15_SW_C3_15_20-A,SW,421
CookEast,22,A,16,46.778826,-117.080408,2015,GPHY15_GB_C4_16_22-A,GB,408
CookEast,23,A,17,46.778797,-117.07999,2015,GPHY15_GB_C5_17_23-A,GB,707
CookEast,1,B,18,46.77895174,-117.0888801,2015,GPHY15_WW_A1_18_1-B,WW,1179
CookEast,2,B,19,46.77882662,-117.0884663,2015,GPHY15_WW_A2_19_2-B,WW,839
CookEast,3,B,20,46.778867,-117.088064,2015,GPHY15_WW_A2_20_3-B,WW,748
CookEast,4,B,21,46.778842,-117.087646,2015,GPHY15_WW_A3_21_4-B,WW,1279
CookEast,5,B,22,46.779015,-117.087228,2015,GPHY15_WW_A4_22_5-B,WW,1154
CookEast,6,B,23,46.77900278,-117.086831,2015,GPHY15_WW_A4_23_6-B,WW,1227
CookEast,7,B,24,46.779077,-117.086392,2015,GPHY15_WW_A5_24_7-B,WW,1193
CookEast,8,B,25,46.779047,-117.085974,2015,GPHY15_WW_A6_25_8-B,WW,1552
CookEast,9,B,26,46.778952,-117.085556,2015,GPHY15_SC_B1_26_9-B,SC,470
CookEast,10,B,27,46.77906282,-117.085117,2015,GPHY15_SC_B2_27_10-B,SC,412
CookEast,11,B,28,46.778918,-117.08472,2015,GPHY15_SC_B3_28_11-B,SC,381
CookEast,12,B,29,46.779007,-117.084302,2015,GPHY15_SC_B3_29_12-B,SC,355
CookEast,13,B,30,46.77896,-117.083884,2015,GPHY15_WW_B4_30_13-B,WW,813
CookEast,14,B,31,46.779023,-117.083466,2015,GPHY15_SB_B5_31_14-B,SB,572
CookEast,15,B,32,46.778944,-117.083048,2015,GPHY15_GB_B6_32_15-B,GB,304
CookEast,16,B,33,46.779013,-117.08263,2015,GPHY15_GB_B6_33_16-B,GB,192
CookEast,17,B,34,46.77905,-117.082212,2015,GPHY15_GB_C1_34_17-B,GB,314
CookEast,18,B,35,46.778852,-117.081794,2015,GPHY15_SC_C2_35_18-B,SC,292
CookEast,19,B,36,46.77900737,-117.0814058,2015,GPHY15_SC_C2_36_19-B,SC,616
CookEast,20,B,37,46.778993,-117.080958,2015,GPHY15_SW_C3_37_20-B,SW,239
CookEast,21,B,38,46.778849,-117.08054,2015,GPHY15_GB_C4_38_21-B,GB,401
CookEast,22,B,39,46.779112,-117.080122,2015,GPHY15_GB_C4_39_22-B,GB,224
CookEast,23,B,40,46.779083,-117.079704,2015,GPHY15_GB_C5_40_23-B,GB,128
CookEast,24,B,41,46.779047,-117.079286,2015,GPHY15_GB_C6_41_24-B,GB,376
CookEast,2,C,42,46.77911338,-117.0887062,2015,GPHY15_WW_A1_42_2-C,WW,1244
CookEast,3,C,43,46.779153,-117.088318,2015,GPHY15_WW_A1_43_3-C,WW,1267
CookEast,4,C,44,46.779128,-117.0879,2015,GPHY15_WW_A2_44_4-C,WW,734
CookEast,5,C,45,46.77928833,-117.0874635,2015,GPHY15_WW_A3_45_5-C,WW,836
CookEast,6,C,46,46.779278,-117.087064,2015,GPHY15_WW_A3_46_6-C,WW,946
CookEast,7,C,47,46.779363,-117.086646,2015,GPHY15_WW_A4_47_7-C,WW,1264
CookEast,8,C,48,46.779333,-117.086228,2015,GPHY15_WW_A5_48_8-C,WW,1236
CookEast,9,C,49,46.779238,-117.08581,2015,GPHY15_WW_A6_49_9-C,WW,1407
CookEast,10,C,50,46.77932123,-117.0853355,2015,GPHY15_SC_B1_50_10-C_B,SC,
CookEast,11,C,51,46.77919681,-117.0849635,2015,GPHY15_SC_B2_51_11-C,SC,457
CookEast,12,C,52,46.779293,-117.084556,2015,GPHY15_SC_B2_52_12-C,SC,470
CookEast,13,C,53,46.779246,-117.084138,2015,GPHY15_SC_B3_53_13-C,SC,589
CookEast,14,C,54,46.779309,-117.08372,2015,GPHY15_WW_B4_54_14-C,WW,1186
CookEast,15,C,55,46.77923,-117.083302,2015,GPHY15_SB_B5_55_15-C,SB,729
CookEast,16,C,56,46.77931128,-117.0829019,2015,GPHY15_SB_B5_56_16-C,SB,856
CookEast,17,C,57,46.779336,-117.082466,2015,GPHY15_GB_B6_57_17-C,GB,265
CookEast,18,C,58,46.779138,-117.082048,2015,GPHY15_GB_C1_58_18-C,GB,296
CookEast,19,C,59,46.77925244,-117.0816001,2015,GPHY15_SC_C2_59_19-C,SC,537
CookEast,20,C,60,46.779279,-117.081212,2015,GPHY15_SC_C2_60_20-C,SC,554
CookEast,21,C,61,46.779135,-117.080794,2015,GPHY15_SW_C3_61_21-C,SW,681
CookEast,22,C,62,46.77941847,-117.0803999,2015,GPHY15_SW_C3_62_22-C,SW,455
CookEast,23,C,63,46.779369,-117.079958,2015,GPHY15_GB_C4_63_23-C,GB,393
CookEast,24,C,64,46.779333,-117.07954,2015,GPHY15_GB_C5_64_24-C,GB,439
CookEast,25,C,65,46.779254,-117.079122,2015,GPHY15_GB_C6_65_25-C,GB,569
CookEast,26,C,66,46.77928646,-117.0787338,2015,GPHY15_GB_C6_66_26-C,GB,453
CookEast,27,C,67,46.779271,-117.078286,2015,GPHY15_GB_C7_67_27-C,GB,315
CookEast,3,D,68,46.779439,-117.088231,2015,GPHY15_WW_A1_68_3-D,WW,713
CookEast,4,D,69,46.779414,-117.087813,2015,GPHY15_WW_A2_69_4-D,WW,843
CookEast,5,D,70,46.779587,-117.087395,2015,GPHY15_WW_A2_70_5-D,WW,901
CookEast,6,D,71,46.779564,-117.086977,2015,GPHY15_WW_A3_71_6-D,WW,1093
CookEast,7,D,72,46.779649,-117.086559,2015,GPHY15_WW_A4_72_7-D,WW,1293
CookEast,8,D,73,46.77963697,-117.0861725,2015,GPHY15_WW_A4_73_8-D,WW,891
CookEast,9,D,74,46.77950963,-117.0856915,2015,GPHY15_WW_A6_74_9-D,WW,1427
CookEast,10,D,75,46.779642,-117.085305,2015,GPHY15_WW_A6_75_10-D,WW,1401
CookEast,11,D,76,46.77949,-117.084887,2015,GPHY15_SC_B1_76_11-D,SC,538
CookEast,12,D,77,46.779579,-117.084469,2015,GPHY15_SC_B2_77_12-D,SC,340
CookEast,13,D,78,46.779532,-117.084051,2015,GPHY15_SC_B3_78_13-D,SC,362
CookEast,14,D,79,46.779595,-117.083633,2015,GPHY15_SC_B3_79_14-D,SC,339
CookEast,15,D,80,46.779516,-117.083215,2015,GPHY15_WW_B4_80_15-D,WW,937
CookEast,16,D,81,46.779585,-117.082797,2015,GPHY15_SB_B5_81_16-D,SB,653
CookEast,17,D,82,46.779622,-117.082379,2015,GPHY15_GB_B6_82_17-D,GB,426
CookEast,18,D,83,46.779424,-117.081961,2015,GPHY15_GB_C1_83_18-D,GB,222
CookEast,19,D,84,46.779563,-117.081543,2015,GPHY15_GB_C1_84_19-D,GB,355
CookEast,20,D,85,46.779565,-117.081125,2015,GPHY15_SC_C2_85_20-D,SC,453
CookEast,21,D,86,46.779421,-117.080707,2015,GPHY15_SW_C3_86_21-D,SW,582
CookEast,22,D,87,46.779684,-117.080289,2015,GPHY15_SW_C3_87_22-D,SW,319
CookEast,23,D,88,46.779655,-117.079871,2015,GPHY15_GB_C4_88_23-D,GB,288
CookEast,24,D,89,46.77960671,-117.079447,2015,GPHY15_GB_C5_89_24-D,GB,424
CookEast,25,D,90,46.77954,-117.079035,2015,GPHY15_GB_C5_90_25-D,GB,354
CookEast,26,D,91,46.779552,-117.078617,2015,GPHY15_GB_C6_91_26-D,GB,391
CookEast,27,D,92,46.779557,-117.078199,2015,GPHY15_GB_C7_92_27-D,GB,587
CookEast,28,D,93,46.779494,-117.077781,2015,GPHY15_GB_C8_93_28-D,GB,313
CookEast,29,D,94,46.779658,-117.077363,2015,GPHY15_GB_C8_94_29-D,GB,338
CookEast,3,E,95,46.77971682,-117.088073,2015,GPHY15_WW_A1_95_3-E,WW,674
CookEast,4,E,96,46.7797,-117.087663,2015,GPHY15_WW_A1_96_4-E,WW,780
CookEast,5,E,97,46.779873,-117.087245,2015,GPHY15_WW_A2_97_5-E,WW,932
CookEast,6,E,98,46.77985,-117.086827,2015,GPHY15_WW_A3_98_6-E,WW,691
CookEast,7,E,99,46.779935,-117.086409,2015,GPHY15_WW_A3_99_7-E,WW,1367
CookEast,8,E,100,46.779905,-117.085991,2015,GPHY15_WW_A4_100_8-E,WW,1243
CookEast,9,E,101,46.77981,-117.085573,2015,GPHY15_WW_A5_101_9-E,WW,1148
CookEast,10,E,102,46.779928,-117.085155,2015,GPHY15_WW_A6_102_10-E,WW,1105
CookEast,11,E,103,46.779776,-117.084737,2015,GPHY15_SC_B1_103_11-E,SC,384
CookEast,12,E,104,46.77988297,-117.0843452,2015,GPHY15_SC_B1_104_12-E,SC,279
CookEast,13,E,105,46.779818,-117.083901,2015,GPHY15_SC_B2_105_13-E,SC,215
CookEast,14,E,106,46.779881,-117.083483,2015,GPHY15_SC_B3_106_14-E,SC,307
CookEast,15,E,107,46.779802,-117.083065,2015,GPHY15_WW_B4_107_15-E,WW,717
CookEast,16,E,108,46.779871,-117.082647,2015,GPHY15_SB_B5_108_16-E,SB,922
CookEast,17,E,109,46.77987977,-117.0821935,2015,GPHY15_GB_B6_109_17-E,GB,490
CookEast,18,E,110,46.77967045,-117.0817533,2015,GPHY15_GB_C1_110_18-E,GB,269
CookEast,19,E,111,46.779849,-117.081393,2015,GPHY15_GB_C1_111_19-E,GB,260
CookEast,20,E,112,46.779851,-117.080975,2015,GPHY15_SC_C2_112_20-E,SC,307
CookEast,21,E,113,46.77969063,-117.0805391,2015,GPHY15_SW_C3_113_21-E,SW,478
CookEast,22,E,114,46.77997,-117.080139,2015,GPHY15_SW_C3_114_22-E,SW,253
CookEast,23,E,115,46.77992463,-117.0797031,2015,GPHY15_GB_C4_115_23-E,GB,266
CookEast,24,E,116,46.779905,-117.079303,2015,GPHY15_GB_C4_116_24-E,GB,353
CookEast,25,E,117,46.779826,-117.078885,2015,GPHY15_GB_C5_117_25-E,GB,561
CookEast,26,E,118,46.779838,-117.078467,2015,GPHY15_GB_C6_118_26-E,GB,292
CookEast,27,E,119,46.77982663,-117.0780192,2015,GPHY15_GB_C7_119_27-E,GB,504
CookEast,28,E,120,46.77978,-117.077631,2015,GPHY15_GB_C7_120_28-E,GB,361
CookEast,29,E,121,46.779944,-117.077213,2015,GPHY15_GB_C8_121_29-E,GB,151
CookEast,4,F,122,46.779986,-117.087699,2015,GPHY15_WW_A1_122_4-F,WW,832
CookEast,5,F,123,46.780159,-117.087281,2015,GPHY15_WW_A1_123_5-F,WW,981
CookEast,6,F,124,46.780136,-117.086863,2015,GPHY15_WW_A2_124_6-F,WW,927
CookEast,7,F,125,46.780221,-117.086445,2015,GPHY15_WW_A3_125_7-F,WW,1093
CookEast,8,F,126,46.78018382,-117.0860113,2015,GPHY15_WW_A4_126_8-F,WW,1166
CookEast,9,F,127,46.78008882,-117.0855933,2015,GPHY15_WW_A5_127_9-F,WW,1554
CookEast,10,F,128,46.780214,-117.085191,2015,GPHY15_WW_A5_128_10-F,WW,937
CookEast,11,F,129,46.780062,-117.084773,2015,GPHY15_WW_A6_129_11-F,WW,1087
CookEast,12,F,130,46.780151,-117.084355,2015,GPHY15_SC_B1_130_12-F,SC,249
CookEast,13,F,131,46.780104,-117.083937,2015,GPHY15_SC_B2_131_13-F,SC,456
CookEast,14,F,132,46.780167,-117.083519,2015,GPHY15_SC_B2_132_14-F,SC,400
CookEast,15,F,133,46.780088,-117.083101,2015,GPHY15_SC_B3_133_15-F,SC,375
CookEast,16,F,134,46.780157,-117.082683,2015,GPHY15_WW_B4_134_16-F,WW,930
CookEast,17,F,135,46.780194,-117.082265,2015,GPHY15_SB_B5_135_17-F,SB,850
CookEast,18,F,136,46.779996,-117.081847,2015,GPHY15_GB_B6_136_18-F,GB,513
CookEast,19,F,137,46.78014727,-117.0814529,2015,GPHY15_GB_B6_137_19-F,GB,350
CookEast,20,F,138,46.780137,-117.081011,2015,GPHY15_GB_C1_138_20-F,GB,471
CookEast,21,F,139,46.779993,-117.080593,2015,GPHY15_SC_C2_139_21-F,SC,170
CookEast,22,f,140,46.780256,-117.080175,2015,GPHY15_SC_C2_140_22-f,SC,279
CookEast,23,F,141,46.780227,-117.079757,2015,GPHY15_SW_C3_141_23-F,SW,284
CookEast,24,F,142,46.780191,-117.079339,2015,GPHY15_GB_C4_142_24-F,GB,296
CookEast,25,F,143,46.78010382,-117.0789031,2015,GPHY15_GB_C5_143_25-F,GB,286
CookEast,26,F,144,46.780124,-117.078503,2015,GPHY15_GB_C5_144_26-F,GB,282
CookEast,27,F,145,46.780129,-117.078085,2015,GPHY15_GB_C6_145_27-F,GB,226
CookEast,28,F,146,46.780066,-117.077667,2015,GPHY15_GB_C7_146_28-F,GB,264
CookEast,29,F,147,46.78023,-117.077249,2015,GPHY15_GB_C7_147_29-F,GB,197
CookEast,30,F,148,46.780004,-117.076831,2015,GPHY15_GB_C8_148_30-F,GB,690
CookEast,6,G,149,46.780422,-117.087103,2015,GPHY15_WW_A1_149_6-G,WW,1170
CookEast,7,G,150,46.780507,-117.086685,2015,GPHY15_WW_A2_150_7-G,WW,821
CookEast,8,G,151,46.78045544,-117.0862251,2015,GPHY15_WW_A3_151_8-G,WW,1347
CookEast,9,G,152,46.78037122,-117.0858333,2015,GPHY15_WW_A4_152_9-G,WW,1073
CookEast,10,G,153,46.7805,-117.085431,2015,GPHY15_WW_A4_153_10-G,WW,1197
CookEast,11,G,154,46.780348,-117.085013,2015,GPHY15_WW_A5_154_11-G,WW,1052
CookEast,12,G,155,46.780437,-117.084595,2015,GPHY15_WW_A6_155_12-G,WW,630
CookEast,13,G,156,46.78039,-117.084177,2015,GPHY15_SC_B1_156_13-G,SC,286
CookEast,14,G,157,46.780453,-117.083759,2015,GPHY15_SC_B1_157_14-G,SC,151
CookEast,15,G,158,46.780374,-117.083341,2015,GPHY15_SC_B2_158_15-G,SC,270
CookEast,16,G,159,46.780443,-117.082923,2015,GPHY15_SC_B3_159_16-G,SC,358
CookEast,17,G,160,46.78048,-117.082505,2015,GPHY15_WW_B4_160_17-G,WW,764
CookEast,18,G,161,46.780282,-117.082087,2015,GPHY15_SB_B5_161_18-G,SB,1176
CookEast,19,G,162,46.78040873,-117.0816451,2015,GPHY15_GB_B6_162_19-G,GB,543
CookEast,20,G,163,46.780423,-117.081251,2015,GPHY15_GB_B6_163_20-G,GB,373
CookEast,21,G,164,46.780279,-117.080833,2015,GPHY15_GB_C1_164_21-G,GB,222
CookEast,22,G,165,46.780542,-117.080415,2015,GPHY15_GB_C1_165_22-G,GB,293
CookEast,23,G,166,46.780513,-117.079997,2015,GPHY15_SC_C2_166_23-G,SC,346
CookEast,24,G,167,46.780477,-117.079579,2015,GPHY15_SW_C3_167_24-G,SW,304
CookEast,25,G,168,46.780398,-117.079161,2015,GPHY15_GB_C4_168_25-G,GB,220
CookEast,26,G,169,46.78041,-117.078743,2015,GPHY15_GB_C4_169_26-G,GB,372
CookEast,27,G,170,46.780415,-117.078325,2015,GPHY15_GB_C5_170_27-G,GB,261
CookEast,28,G,171,46.780352,-117.077907,2015,GPHY15_GB_C6_171_28-G,GB,182
CookEast,29,G,172,46.780516,-117.077489,2015,GPHY15_GB_C6_172_29-G,GB,238
CookEast,30,G,173,46.78029,-117.077071,2015,GPHY15_GB_C7_173_30-G,GB,209
CookEast,31,G,174,46.780414,-117.076653,2015,GPHY15_GB_C8_174_31-G,GB,466
CookEast,6,H,175,46.780708,-117.086879,2015,GPHY15_WW_A1_175_6-H,WW,1088
CookEast,7,H,176,46.78080097,-117.0864768,2015,GPHY15_WW_A1_176_7-H,WW,1385
CookEast,8,H,177,46.780763,-117.086043,2015,GPHY15_WW_A2_177_8-H,WW,1005
CookEast,9,H,178,46.780668,-117.085625,2015,GPHY15_WW_A3_178_9-H,WW,1267
CookEast,10,H,179,46.780786,-117.085207,2015,GPHY15_WW_A4_179_10-H,WW,1582
CookEast,11,H,180,46.780634,-117.084789,2015,GPHY15_WW_A5_180_11-H,WW,787
CookEast,12,H,181,46.780723,-117.084371,2015,GPHY15_WW_B4_181_12-H,WW,821
CookEast,13,H,182,46.78065692,-117.0839212,2015,GPHY15_SC_B1_182_13-H,SC,
CookEast,14,H,183,46.780739,-117.083535,2015,GPHY15_SC_B1_183_14-H,SC,365
CookEast,15,H,184,46.78066,-117.083117,2015,GPHY15_SC_B2_184_15-H,SC,476
CookEast,16,H,185,46.780729,-117.082699,2015,GPHY15_SC_B3_185_16-H,SC,342
