Source,CreationDate,Author,LastSaved,LastSavedBy,BarcodeFinal,LabelPrefix,Crop,FieldStrip,ID2,Col-Row2,Col,Row2,ShoudKeep,isResidue,TotalGrain(g)+bag,TareBag(g),TotalGrain(g),Tota Biomass(g)+bag,TareBag(g),TotalBiomass(g),protein,moisture,starch,gluten,testWeight,tareWtSampleBag(g),NOTES,Notes2,Notes3
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_##_###_3-A,CF14GPSWGrn,SW,##,###,3-A,3,A,1,,1144,23,1121,,,,9.8,7.1,75.9,23.8,62.1,,MOISTURE OUTSIDE LIMITS,STARCH OUTSIDE LIMITS,ORIGINAL SAMPLE BAG DAMAGED AND BAG HAS NO BARCODE
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_1_5-A,GPHY14,GB,A4,1,5-A,5,A,1,,47,20,27,,,,,,,,,,TOTAL SAMPLE GROUND,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A5_2_6-A,CF14GPSWGrn,SW,A5,2,6-A,6,A,1,,724,20,704,,,,13.4,6,64.3,33.1,47.1,,MOISTURE OUTSIDE LIMITS,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A5_3_7-A,CF14GPSWGrn,SW,A5,3,7-A,7,A,1,,458,20,438,,,,11.7,6.8,68,26.3,50,,MOISTURE OUTSIDE LIMITS,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A6_4_8-A,CF14GPSWGrn,SW,A6,4,8-A,8,A,1,,698,20,678,,,,11,6.2,69.1,24.6,50.4,,MOISTURE OUTSIDE LIMITS,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_4_9-A,CF14GPWW,WW,,4,9-A,9,A,1,,1036,19,1017,,,,11.2,8.9,68.3,29.9,49.2,,,,
??\Cook Farm GP HY2014 Field B C4 WW Bag Labels.xlsx,41856.34514,Rachel Unger,41871.46667,Covered Storage,CF14GPWW_5_10-A,CF14GPWW,WW,,5,10-A,10,A,1,,,,,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_6_11-A,CF14GPWW,WW,,6,11-A,11,A,1,,797,19,778,,,,12.5,9.1,67.7,33.6,49.7,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_7_12-A,CF14GPWW,WW,,7,12-A,12,A,1,,806,19,787,,,,11.8,8.9,70.4,30.8,50.6,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_8_13-A,CF14GPWW,WW,,8,13-A,13,A,1,,1011,19,992,,,,11.9,9.3,66.7,32,44.5,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_9_14-A,CF14GPWW,WW,,9,14-A,14,A,1,,777,19,758,,,,12,8.8,70,32,51.3,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_10_15-A,CF14GPWW,WW,,10,15-A,15,A,1,,1096,19,1077,,,,11.7,8.9,70.4,31.3,48.8,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_11_16-A,CF14GPWW,WW,,11,16-A,16,A,1,,1137,19,1118,,,,10.2,8.5,72.9,26.8,54.6,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C1_13_17-A,CF14GPSWGrn,SW,C1,13,17-A,17,A,1,,537,25,512,,,,11.8,6.5,70.5,25.9,56,,MOISTURE OUTSIDE LIMITS,,ORIGINAL SAMPLE BAG RIPPED
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.48472,Covered Storage,GPHY14_SB_C3_14_19-A,GPHY14,SB,C3,14,19-A,19,A,1,,721,31,690,,,,9.9,11.3,61.9,,47.6,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.48472,Covered Storage,GPHY14_SB_C3_15_20-A,GPHY14,SB,C3,15,20-A,20,A,1,,705,31,674,,,,12.5,11.5,62.5,,51.1,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_15_22-A,CF14GPWW,WW,,15,22-A,22,A,1,,1328,20,1308,,,,12.2,8.5,71.6,33,55.8,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_18_1-B,GPHY14,GB,A1,18,1-B,1,B,1,,272,20,252,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_19_2-B,GPHY14,GB,A2,19,2-B,2,B,1,,311,20,291,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_20_3-B,GPHY14,GB,A2,20,3-B,3,B,1,,241,20,221,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_21_4-B,GPHY14,GB,A3,21,4-B,4,B,1,,507,20,487,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_22_5-B,GPHY14,GB,A4,22,5-B,5,B,1,,293,20,273,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_23_6-B,GPHY14,GB,A4,23,6-B,6,B,1,,235,35,200,,,,,,,,,,MOUSE DAMAGE TO ORIGINAL BAG,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A5_24_7-B,CF14GPSWGrn,SW,A5,24,7-B,7,B,1,,548,20,528,,,,12.3,7,66.9,29.3,53.8,,MOISTURE OUTSIDE LIMITS,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A6_25_8-B,CF14GPSWGrn,SW,A6,25,8-B,8,B,1,,857,20,837,,,,10.6,6.6,74.2,24.1,58.6,,MOISTURE OUTSIDE LIMITS,STARCH OUTSIDE LIMITS,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_25_9-B,CF14GPWW,WW,,25,9-B,9,B,1,,1128,20,1108,,,,9.3,9.5,67.6,24.3,43,,Starch outside limits,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_26_10-B,CF14GPWW,WW,,26,10-B,10,B,1,,1228,20,1208,,,,9.8,8.9,70.1,25.7,41.5,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_27_11-B,CF14GPWW,WW,,27,11-B,11,B,1,,1462,19,1443,,,,10.8,9,72.3,29.1,53.2,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_28_12-B,CF14GPWW,WW,,28,12-B,12,B,1,,929,20,909,,,,9.7,8.3,74,24.8,50.1,,Starch outside limits,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_29_13-B,CF14GPWW,WW,,29,13-B,13,B,1,,1092,19,1073,,,,10.8,7.9,73.9,28.8,54.1,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_30_14-B,CF14GPWW,WW,,30,14-B,14,B,1,,1050,19,1031,,,,10.3,8.1,73.4,27.4,51.4,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_31_15-B,CF14GPWW,WW,,31,15-B,15,B,1,,1359,20,1339,,,,10.2,8.1,72.2,26.1,45.8,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_32_16-B,CF14GPWW,WW,,32,16-B,16,B,1,,842,20,822,,,,12.1,8.2,65.2,31.5,40,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C1_34_17-B,CF14GPSWGrn,SW,C1,34,17-B,17,B,1,,723,20,703,,,,11,6.5,72.5,24.4,55.7,,MOISTURE OUTSIDE LIMITS,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_C2_35_18-B,GPHY14,GB,C2,35,18-B,18,B,1,,361,20,341,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_C2_36_19-B,GPHY14,GB,C2,36,19-B,19,B,1,,584,20,564,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\GPHY14SB.xlsx,41964.45069,Covered Storage,41964.50208,Covered Storage,GPHY14_SB_C3_37_20-B,GPHY14,SB,C3,37,20-B,20,B,1,,408,31,377,,,,14.5,12.2,58.5,,42.6,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_37_21-B,CF14GPWW,WW,,37,21-B,21,B,1,,911,19,892,,,,11.5,8.2,71.3,31.4,53.8,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_38_22-B,CF14GPWW,WW,,38,22-B,22,B,1,,650,20,630,,,,10.3,8.3,73.9,28,55.7,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C6_41_24-B,CF14GPSWGrn,SW,C6,41,24-B,24,B,1,,851,24,827,,,,11.6,6.9,73.5,27.2,57.7,,MOISTURE OUTSIDE LIMITS,,ORIGINAL SAMPLE BAG DAMAGED
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_42_2-C,GPHY14,GB,A1,42,2-C,2,C,1,,351,20,331,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A1_43_3-C,GPHY14,GB,A1,43,3-C,3,C,1,,559,20,539,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A2_44_4-C,GPHY14,GB,A2,44,4-C,4,C,1,,174,20,154,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_45_5-C,GPHY14,GB,A3,45,5-C,5,C,1,,313,20,293,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A3_46_6-C,GPHY14,GB,A3,46,6-C,6,C,1,,163,20,143,,,,,,,,,,MOUSE DAMAGE,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_A4_47_7-C,GPHY14,GB,A4,47,7-C,7,C,1,,328,20,308,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A5_48_8-C,CF14GPSWGrn,SW,A5,48,8-C,8,C,1,,1056,20,1036,,,,11,7,69.4,25.2,53.8,,MOISTURE OUTSIDE LIMITS,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_A6_49_9-C,CF14GPSWGrn,SW,A6,49,9-C,9,C,1,,1019,20,999,,,,10,7.3,75.7,24.3,60,,,STARCH OUTSIDE LIMITS,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_49_10-C,CF14GPWW,WW,,49,10-C,10,C,1,,895,20,875,,,,11.7,7.9,69.1,31.3,43.4,,,,
??\Cook Farm GP HY2014 Field B C4 WW Bag Labels.xlsx,41856.34514,Rachel Unger,41871.46667,Covered Storage,CF14GPWW_50_11-C,CF14GPWW,WW,,50,11-C,11,C,1,,,,,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPWW_51_12-C,CF14GPWW,WW,,51,12-C,12,C,1,,1085,20,1065,,,,11.8,8.5,68.2,31.2,48.5,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_52_13-C,CF14GPWW,WW,,52,13-C,13,C,1,,1513,19,1494,,,,10.3,8.9,72.1,27.8,53,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_53_14-C,CF14GPWW,WW,,53,14-C,14,C,1,,778,19,759,,,,13.7,9.2,62.5,37,40.8,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_54_15-C,CF14GPWW,WW,,54,15-C,15,C,1,,1166,19,1147,,,,10.3,8.4,74.7,27.4,53.7,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_55_16-C,CF14GPWW,WW,,55,16-C,16,C,1,,1022,19,1003,,,,11.9,8.3,70.4,31.4,51.7,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CFGPWW2014FieldB.xlsx,41947.55208,Covered Storage,41947.65833,Covered Storage,CF14GPWW_56_17-C,CF14GPWW,WW,,56,17-C,17,C,1,,1133,19,1114,,,,10.3,8.7,74.4,27.1,53.7,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromJohnMorse\PCFS_thumbDrive\master checklist 2014\originals\old pcfs pc desktop\CAF GP 2014 WW SW NIR.xlsx,42157.42847,Covered Storage,42166.53264,Covered Storage,CF14GPSWGrn_C1_58_18-C,CF14GPSWGrn,SW,C1,58,18-C,18,C,1,,721,20,701,,,,11.1,7,73.4,25.6,57.5,,MOISTURE OUTSIDE LIMITS,STARCH OUTSIDE LIMITS,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_C2_59_19-C,GPHY14,GB,C2,59,19-C,19,C,1,,515,20,495,,,,,,,,,,,,
\Projects\CookEastPlantHandHarvest\1999-2016\Received\FromPcfsAUsbThumbDrive_161202\Documents\CAF_GPHY14_GB_GR_WT.xlsx,42164.54028,Covered Storage,42164.56806,Covered Storage,GPHY14_GB_C2_6_20-C,GPHY14,GB,C2,6,20-C,20,C,1,,517,20,497,,,,,,,,,,,,
